relational_features_token	relational_features_char	topic_features	word_features	keyword_features	char_features	pos_features
get--2--like : 0.0	 --1--u : 3.86	topic_0 : 0.0	fool : 0.23	absolute : 0.0	go  : 5.95	prp vbp : 4.2
dont--3--like : 0.0	t--5--m : 3.84	topic_1 : 0.0	dumb : 0.19	abused : 0.0	 u  : 5.59	nn prp vbp : 3.97
people--2--like : 0.0	h--3--c : 3.83	topic_2 : 0.0	0bama : 0.0	accusing : 0.0	oro : 4.57	vbp : 3.64
people--4--like : 0.0	f--5--y : 3.63	topic_3 : 0.0	ability : 0.0	acknowledge : 0.0	ck : 4.5	prp vbp dt : 3.2
dont--2--get : 0.0	b--2--e : 3.58	topic_4 : 0.0	abortion : 0.0	activities : 0.0	h a : 4.33	dt : 2.65
dont--2--like : 0.0	l--3--i : 3.5	topic_5 : 0.0	abortions : 0.0	added : 0.0	 cra : 4.17	vbd : 2.61
one--4--like : 0.0	k--2--e : 3.46	topic_6 : 0.0	abs0lutely : 0.0	admittedly : 0.0	moro : 4.15	nn prp : 2.29
like--3--know : 0.0	w--6--p : 3.42	topic_7 : 0.0	absolutely : 0.0	admitting : 0.0	oron : 4.1	prp : 2.23
get--3--like : 0.0	s--1--p : 3.41	topic_8 : 0.0	abuse : 0.0	adopt : 0.0	ser : 4.08	cc prp : 1.94
us--4--people : 0.0	g--5--d : 3.33	topic_9 : 0.0	abusing : 0.0	affairs : 0.0	s w : 4.05	jj nn prp : 1.64
dont--3--people : 0.0	l--4--p : 3.32	topic_10 : 0.0	accept : 0.0	afrika : 0.0	u  : 4.03	in dt : 1.61
think--4--like : 0.0	i--2--p : 3.3	topic_11 : 0.0	accepted : 0.0	afucking : 0.0	hu : 3.9	vbp dt : 1.61
get--2--would : 0.0	k--3--c : 3.24	topic_12 : 0.0	accepting : 0.0	again1 : 0.0	ster : 3.82	prp jj : 1.52
good--4--like : 0.0	u--3--i : 3.18	topic_13 : 0.0	access : 0.0	agent : 0.0	b  : 3.74	rb : 1.4
see--4--people : 0.0	i--4--h : 3.16	topic_14 : 0.0	accident : 0.0	airwaves : 0.0	bitc : 3.6	nnp nnp nnp : 1.35
